time,flow_rate,temperature,valve_position
0.09168601036071777,0,25.0,1
0.45317673683166504,0,25.0,1
0.815197229385376,0,25.0,1
1.1974804401397705,0,25.0,1
1.5640199184417725,0,25.0,1
1.9368629455566406,0,25.0,1
2.328732967376709,0,25.0,1
2.6967456340789795,0,25.0,1
3.0648860931396484,0,25.0,1
3.461747884750366,0,25.0,1
3.840675115585327,0,25.0,1
4.219932556152344,0,25.0,1
4.58498477935791,0,25.0,1
4.964419364929199,0,25.0,1
5.329007863998413,0,25.0,1
5.698665618896484,0,25.0,1
6.062535047531128,0,25.0,1
6.441291570663452,0,25.0,1
6.807763576507568,0,25.0,1
7.210834741592407,0,25.0,1
7.586413383483887,0,25.0,1
7.968111991882324,0,25.0,1
8.335826873779297,0,25.0,1
8.731035232543945,0,25.0,1
9.097843885421753,0,25.0,1
9.46264100074768,0,25.0,1
9.849575757980347,0,25.0,1
10.2297945022583,0,25.0,1
10.61930799484253,0,25.0,1
11.014959812164307,0,25.0,1
